Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2775,7,8,2007,43,44,16,33,114,6,26.7,47,1.2,68
2776,8,8,2007,68,43,35,51,99,6,27.8,50,0.93,60
2777,9,8,2007,60,68,51,39,104,7,28.1,56,1.1,54
2778,10,8,2007,54,60,47,35,89,5,28,64,0.6,52
2779,11,8,2007,52,54,45,34,83,5,28,64,1.59,22
2780,12,8,2007,22,52,17,14,95,2,28.9,35,1.11,26
2781,13,8,2007,26,22,18,17,109,5,29.5,34,1.24,34
2782,14,8,2007,34,26,21,22,119,7,31,32,1.22,25
2783,15,8,2007,25,34,22,16,82,5,30.7,34,1.21,35
2784,16,8,2007,35,25,37,23,77,5,29.3,46,1.28,49
2785,17,8,2007,49,35,44,32,88,4,29.3,51,1.14,47
2786,18,8,2007,47,49,50,31,84,3,29.9,51,1.28,49
2787,19,8,2007,49,47,40,32,70,3,29,61,1.31,49
2788,20,8,2007,49,49,45,32,89,3,29.7,59,1.22,54
2789,21,8,2007,54,49,47,41,92,3,29.3,59,1,67
2790,22,8,2007,67,54,65,49,111,5,30.3,55,0.88,92
2791,23,8,2007,92,67,85,66,124,6,31.7,47,1.12,78
2792,24,8,2007,78,92,72,57,104,4,32.6,42,1.04,59
2793,25,8,2007,59,78,56,44,107,3,32.7,34,,53
2794,26,8,2007,53,59,56,40,96,5,30.8,40,,48
2795,27,8,2007,48,53,36,37,106,6,29.8,39,,36
2796,28,8,2007,36,48,27,29,91,7,28.9,47,,43
2797,29,8,2007,43,36,39,33,89,4,28.8,50,,52
2798,30,8,2007,52,43,43,39,97,5,29,57,,69
2799,31,8,2007,69,52,70,51,114,6,29.6,55,,77
2800,1,9,2007,77,69,62,52,96,4,29.3,56,,45
2801,2,9,2007,45,77,23,33,88,3,24.6,61,,62
2802,3,9,2007,62,45,32,38,102,8,26.1,56,,59
2803,4,9,2007,59,62,34,43,94,3,27,59,,55
2804,5,9,2007,55,59,27,32,101,5,24.9,54,,35
2805,6,9,2007,35,55,17,17,103,10,21,32,,64
2806,7,9,2007,64,35,21,41,129,15,18.9,45,,29
2807,8,9,2007,29,64,16,16,81,9,18.9,36,,29
2808,9,9,2007,29,29,13,24,97,5,22.3,37,,43
2809,10,9,2007,43,29,18,32,94,8,24.1,39,,53
2810,11,9,2007,53,43,32,38,100,8,24.9,44,,31
2811,12,9,2007,31,53,21,17,106,7,21.7,34,,41
2812,13,9,2007,41,31,19,29,109,8,22.3,30,,54
2813,14,9,2007,54,41,25,45,98,12,23,47,,49
2814,15,9,2007,49,54,36,34,112,11,24.7,44,,38
2815,16,9,2007,38,49,24,29,94,8,25.3,30,,58
2816,17,9,2007,58,38,35,47,102,23,23.3,54,,66
2817,18,9,2007,66,58,51,44,109,15,23.8,62,,84
2818,19,9,2007,84,66,53,47,111,7,24.2,58,0.82,91
2819,20,9,2007,91,84,20,44,99,6,19.7,69,,58
2820,21,9,2007,58,91,22,28,97,10,19.6,61,,33
2821,22,9,2007,33,58,21,20,78,8,19.7,60,,31
2822,23,9,2007,31,33,20,21,99,5,20.6,41,,64
2823,24,9,2007,64,31,49,39,97,12,20.4,45,,62
2824,25,9,2007,62,64,51,45,104,17,20.9,55,1.18,57
2825,26,9,2007,57,62,44,42,94,8,22,62,1.15,74
2826,27,9,2007,74,57,41,55,99,9,22.9,69,0.81,73
2827,28,9,2007,73,74,54,49,93,8,23.2,80,0.87,63
2828,29,9,2007,63,73,55,37,98,5,23.8,69,0.72,69
2829,30,9,2007,69,63,59,51,96,9,24.4,63,,80
2830,1,10,2007,80,69,52,41,101,11,24.1,62,1.28,64
2831,2,10,2007,64,80,50,37,100,12,23,47,0.94,67
2832,3,10,2007,67,64,58,42,112,18,21.7,50,0.93,94
2833,4,10,2007,94,67,67,44,114,15,22,47,0.84,87
2834,5,10,2007,87,94,77,64,124,16,22.5,52,0.81,90
2835,6,10,2007,90,87,74,66,104,9,22.6,63,0.69,85
2836,7,10,2007,85,90,71,54,108,6,22.4,65,0.78,116
2837,8,10,2007,116,85,68,66,105,8,21.7,78,0.72,91
2838,9,10,2007,91,116,66,56,96,6,22.3,79,0.73,92
2839,10,10,2007,92,91,43,52,98,10,22.7,66,1.3,105
2840,11,10,2007,105,92,39,46,92,4,20.9,75,1.14,110
2841,12,10,2007,110,105,37,44,106,4,20.8,77,0.87,55
2842,13,10,2007,55,110,32,27,92,3,19.9,61,3.05,26
2843,14,10,2007,26,55,18,13,86,6,14.1,36,1.81,47
2844,15,10,2007,47,26,25,31,99,11,13.5,46,0.94,75
2845,16,10,2007,75,47,52,43,108,7,15.1,56,0.64,99
2846,17,10,2007,99,75,89,65,117,12,16.5,53,0.65,121
2847,18,10,2007,121,99,104,76,86,13,17.7,52,0.66,131
2848,19,10,2007,131,121,79,71,82,13,17.7,59,0.81,40
2849,20,10,2007,40,131,16,28,68,6,11.7,72,1.39,43
2850,21,10,2007,43,40,18,28,65,12,11.7,79,1.43,46
2851,22,10,2007,46,43,19,34,61,6,16.3,78,1.67,55
2852,23,10,2007,55,46,31,32,72,17,16.4,60,0.96,73
2853,24,10,2007,73,55,35,37,86,6,17,73,0.77,64
2854,25,10,2007,64,73,63,41,70,11,17.1,75,0.86,57
2855,26,10,2007,57,64,51,41,67,14,17.9,78,0.74,68
2856,27,10,2007,68,57,48,41,58,3,18.2,86,0.78,57
2857,28,10,2007,57,68,50,36,56,4,17.8,81,0.7,87
2858,29,10,2007,87,57,54,40,72,9,17.1,77,1.21,59
2859,30,10,2007,59,87,48,40,62,10,16.4,72,0.72,91
2860,31,10,2007,91,59,49,47,68,10,17.8,79,,84
2861,1,11,2007,84,91,68,55,63,15,18.4,86,0.55,106
